id,titulo,descripcion,tecnica,medidas,anio,imagenes,orden,created_at,categoria,serie,price,is_available,show_price
6,Dilemas,,acrilico sobre lienzo,140 x 140 cm,2025,"[{""name"":""undefined"",""path"":""images/dilemas-1758841120601-IMG20250924202107011HDR2.jpg""},{""name"":""undefined"",""path"":""images/dilemas-1758841123026-IMG20250924202247859HDR2.jpg""},{""name"":""undefined"",""path"":""images/dilemas-1758841125108-IMG20250924205712178HDR2.jpg""},{""name"":""undefined"",""path"":""images/dilemas-1758841127359-IMG20250924205727209HDR2.jpg""}]",1,2025-09-25 22:58:54.344689+00,pintura,personajes,1000000,true,true
7,Traje gris,,tinta sobre papel acuarela 300 g,"50,5 x 71,5 cm",2017,"[{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/traje-gris-1758842688597-IMG20250923125417339HDR2.jpg"",""path"":""images/traje-gris-1758842688597-IMG20250923125417339HDR2.jpg"",""originalName"":""IMG_20250923_125417339_HDR~2.jpg""},{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/traje-gris-1758842690794-IMG20250923125458984HDR2.jpg"",""path"":""images/traje-gris-1758842690794-IMG20250923125458984HDR2.jpg"",""originalName"":""IMG_20250923_125458984_HDR~2.jpg""}]",34,2025-09-25 23:24:58.651643+00,dibujo,personajes,180000,true,true
8,Tormenta negra,,aerosol y oleo sobre lienzo,50 x 70 cm,2025,"[{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/tormenta-negra-1758843107968-20250715102904.jpg"",""path"":""images/tormenta-negra-1758843107968-20250715102904.jpg"",""originalName"":""20250715_102904.jpg""},{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/tormenta-negra-1758843110220-20250715102937.jpg"",""path"":""images/tormenta-negra-1758843110220-20250715102937.jpg"",""originalName"":""20250715_102937.jpg""},{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/tormenta-negra-1758843112677-20250715103031.jpg"",""path"":""images/tormenta-negra-1758843112677-20250715103031.jpg"",""originalName"":""20250715_103031.jpg""}]",6,2025-09-25 23:31:59.494692+00,pintura,paisajes,300000,true,true
9,ciudad flotante,,tinta y acuarela sobre papel Fabriano 200 g,56 x 38 cm,2023,"[{""name"":""undefined"",""path"":""images/ciudad-flotante-1758843417281-ciudadnegra.jpg""},{""name"":""undefined"",""path"":""images/ciudad-flotante-1758843409647-ciudadnegra3.jpg""},{""name"":""undefined"",""path"":""images/ciudad-flotante-1758843411386-ciudadnegra4.jpg""},{""name"":""undefined"",""path"":""images/ciudad-flotante-1758843419015-ciudadnegra2.jpg""}]",22,2025-09-25 23:37:06.992997+00,dibujo,urbano,130000,true,true
10,imagina un valle,"serigrafia sobre papel 4 tintas
ultimas 3 disponibles",serigrafia,35 x 50 cm,2025,"[{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/sin-titulo-1758844292319-cuadradoweb.jpg"",""path"":""images/sin-titulo-1758844292319-cuadradoweb.jpg"",""originalName"":""cuadrado web.jpg""},{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/sin-titulo-1758844293852-rectangular8.jpg"",""path"":""images/sin-titulo-1758844293852-rectangular8.jpg"",""originalName"":""rectangular 8.jpg""},{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/sin-titulo-1758844294775-web3.jpg"",""path"":""images/sin-titulo-1758844294775-web3.jpg"",""originalName"":""web3.jpg""}]",16,2025-09-25 23:51:42.659275+00,grabado,personajes,35000,true,true
11,Niños jugando,,Tinta y acuarela sobre papel acuarela 250 g,"50,5 cm x 71,5 cm",2017,"[{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/ni-os-jugando-1758844452061-IMG20250923122729343HDR2.jpg"",""path"":""images/ni-os-jugando-1758844452061-IMG20250923122729343HDR2.jpg"",""originalName"":""IMG_20250923_122729343_HDR~2.jpg""},{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/ni-os-jugando-1758844457798-IMG20250923122739143HDR.jpg"",""path"":""images/ni-os-jugando-1758844457798-IMG20250923122739143HDR.jpg"",""originalName"":""IMG_20250923_122739143_HDR.jpg""},{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/ni-os-jugando-1758844461074-IMG20250923122801337HDR.jpg"",""path"":""images/ni-os-jugando-1758844461074-IMG20250923122801337HDR.jpg"",""originalName"":""IMG_20250923_122801337_HDR.jpg""}]",29,2025-09-25 23:54:29.736738+00,dibujo,urbano,300000,true,true
12,No Libertad,,aerosol y oleo sobre cartulina americana,59 cm x 80 cm,2020,"[{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/no-libertad-1758844650102-IMG20250923115249100HDR.jpg"",""path"":""images/no-libertad-1758844650102-IMG20250923115249100HDR.jpg"",""originalName"":""IMG_20250923_115249100_HDR.jpg""},{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/no-libertad-1758844653378-IMG20250923115315566HDR.jpg"",""path"":""images/no-libertad-1758844653378-IMG20250923115315566HDR.jpg"",""originalName"":""IMG_20250923_115315566_HDR.jpg""}]",37,2025-09-25 23:57:41.431983+00,pintura,urbano,250000,true,true
14,Hambre 3,marco de 4 cm de profundidad,Acrilico sobre madera,"21,5 x 31,5 cm enmarcado",2024,"[{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/hambre-3-1758845303124-IMG20250924201750176HDR2.jpg"",""path"":""images/hambre-3-1758845303124-IMG20250924201750176HDR2.jpg"",""originalName"":""IMG_20250924_201750176_HDR~2.jpg""},{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/hambre-3-1758845305867-IMG20250924201812818HDR.jpg"",""path"":""images/hambre-3-1758845305867-IMG20250924201812818HDR.jpg"",""originalName"":""IMG_20250924_201812818_HDR.jpg""},{""url"":""https://railkoprsjevdyrxalfu.supabase.co/storage/v1/object/public/imagenes/images/hambre-3-1758845308221-IMG20250924201827488HDR2.jpg"",""path"":""images/hambre-3-1758845308221-IMG20250924201827488HDR2.jpg"",""originalName"":""IMG_20250924_201827488_HDR~2.jpg""}]",31,2025-09-26 00:08:36.437117+00,pintura,personajes,200000,true,true
15,tinta,no disponible,tinta sobre papel,22 x 28 cm,2020,"[{""name"":""undefined"",""path"":""images/tinta-1758993078115-tinta2.jpg""},{""name"":""undefined"",""path"":""images/tinta-1758993075494-579A7296.jpg""},{""name"":""undefined"",""path"":""images/tinta-1758993077380-579A7297.jpg""}]",36,2025-09-27 17:11:19.148476+00,dibujo,personajes,,false,false
16,tinta 2,,tinta sobre papel,22 x 28 cm,2020,"[{""name"":""undefined"",""path"":""images/tinta-2-1758993149312-tinta.jpg""},{""name"":""undefined"",""path"":""images/tinta-2-1758993147262-579A7304.jpg""}]",38,2025-09-27 17:12:30.675718+00,dibujo,personajes,,false,false
